species,elevation,latitude,mean_ls,max_ls,rnot,popbiolambda,Gmeanlambda,eco_region,matdim
Cypripedium.calceolus,1477,42.769722,5,31,22,1.047823,1.047837663098008,MED,5
Cypripedium.calceolus,1477,42.769722,5,47,1,0.989973,0.9908803593353077,MED,5
Cypripedium.calceolus,1299,42.659444,5,33,1,1.020196,1.020089480725768,MED,6
Primula.vulgaris,145,51.966667,2,56,0,0.955519,0.9534772710835239,TBM,5
Primula.vulgaris,114,52.149444,2,110,1,0.997255,0.9957403999916667,TBM,5
Primula.vulgaris,187,51.777778,2,81,1,0.993517,0.9922424724340464,TBM,5
Primula.vulgaris,187,51.777778,2,111,4,1.061775,1.0604700702419152,TBM,5
Primula.vulgaris,900,43.283333,2,16,1,0.989537,0.9878054164292711,TBM,4
Primula.vulgaris,900,43.283333,2,11,1,1.069214,1.0679660435921818,TBM,4
Primula.vulgaris,900,43.283333,2,2,0,0.71803,1,TBM,4
Primula.vulgaris,900,43.283333,2,12,1,0.951172,0.9462371613657931,TBM,4
Primula.vulgaris,900,43.283333,2,2,0,0.800053,1,TBM,4
Primula.vulgaris,900,43.283333,2,19,1,0.96665,0.9608574450193224,TBM,4
Primula.vulgaris,900,43.283333,2,18,1,1.025625,1.0243513016601882,TBM,4
