species,elevation,latitude,mean_ls,max_ls,rnot,popbiolambda,Gmeanlambda,eco_region,matdim
Dracocephalum.austriacum,270,49.933333,2,2,1,0.996085,0.9931160484209338,TBM,4
Dracocephalum.austriacum,287,49.933333,2,2,1,1.001825,0.999076607591102,TBM,4
Dracocephalum.austriacum,350,49.933333,2,10,1,1.006385,1.0041498947258725,TBM,4
Dracocephalum.austriacum,595,48.616667,2,3,0,1.081342,1.078763461829178,TBM,4
Dracocephalum.austriacum,340,48.5,2,2,4,1.037129,1.0345868783450498,TBM,4
Dracocephalum.austriacum,730,48.616667,2,3,0,1.065872,1.0633186290055099,TBM,4
Alliaria.petiolata,219,40.683333,2,2,1,0.926002,0.9284145445194744,TBM,3
Alliaria.petiolata,223,40.066667,2,3,1,1.063657,1.062680487160749,TBM,3
Alliaria.petiolata,250,42.883333,2,3,1,0.949737,0.9525181053347327,TBM,3
Cypripedium.calceolus,1477,42.769722,5,31,22,1.047823,1.047837663098008,MED,5
Cypripedium.calceolus,1477,42.769722,5,47,1,0.989973,0.9908803593353077,MED,5
Cypripedium.calceolus,1299,42.659444,5,33,1,1.020196,1.020089480725768,MED,6
Dracocephalum.austriacum,287,49.933333,2,2,1,1.001825,0.9990740878537064,TBM,4
Dracocephalum.austriacum,350,49.933333,2,10,1,1.006385,1.0041493836188222,TBM,4
Dracocephalum.austriacum,595,48.616667,2,3,0,1.081343,1.0787638013456415,TBM,4
Dracocephalum.austriacum,340,48.5,2,2,4,1.03713,1.0345880413250912,TBM,4
Dracocephalum.austriacum,730,48.616667,2,3,0,1.065871,1.0633174087189772,TBM,4
Pyrrocoma.radiata,901,44.4,2,23,1,1.029245,1.0277882438175086,DES,4
Hydrastis.canadensis,266,40.283333,2,2,0,0.960896,0.9528421908886988,BOR,5
Hydrastis.canadensis,195,39.35,2,2,1,1.001003,0.9974393342549407,BOR,6
Hydrastis.canadensis,183,42.033333,5,13,0,0.947651,1,BOR,7
